source_id,source_type,title,path_or_id,canonical_status,used_by_departments,used_by_roles,upstream,downstream,related_tasks,related_loops,sensitivity,last_verified,notes
ROLE-MODULE-INDEX,generated_index,Dynamic Role Module Index,chrome-extension/task-modules/index.json,generated_runtime_index,"總調度秘書;系統總管中心;所有召喚型部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS","role recalls;module builder","Chrome Extension;Codex;Gemini;OpenClaw;Hermes","T-A1-EXT-001","System Governance",internal,2026-06-29,"缺新角色或新模組時視為 stale"
DRIVE-MAPLAB-SHEET,google_sheet,MAPLAB 外燴系統 v0.1,1fn_woqYI_RY9ggGHVidB5SMygAzwe4CL_SOPLhe91Jg,operational_live,"報價與提案引擎部;業務快反應部隊;客服與對話轉單部;系統總管中心;總調度秘書","A0;A1;A5;A6;A7;B2","Items;SALES_INTAKE;CONVERSATION_LOG;orders","QUOTE_WORKBENCH;REVISION_LOG;Dashboard;proposals","T-A1-V6-P2;T-A5-005;T-A6-001;T-A7-001","MAPLAB Cashflow Loop",customer_data,2026-07-16,"Drive/Sheets 是營運資料真相；GitHub 定義流程"
DRIVE-MAPLAB-DATA,google_folder,MAPLAB_DATA,19RKLsBfNKuoCHVPFzT9D7tJrAdkTSmpt,canonical_drive_domain,"MAPLAB 全部營運部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B2;B5","customer cases;assets;Sheets","sales;marketing;content;learning",,"MAPLAB Cashflow Loop",customer_data,2026-07-18,"內容讀取需依子資料域與隱私規則"
DRIVE-LINE-CSV,google_folder,LINE OA Chat CSV,1bS77rE0-RcdNpAEI0U0yxPFI5DhkiNFR,operational_source,"客服與對話轉單部;業務快反應部隊;報價與提案引擎部","A7;A6;A5;B2;B5","LINE OA exports","reply templates;case store;quote intake;training","T-A6-001;T-A7-001","MAPLAB Cashflow Loop",customer_data,2025-10-30,"使用去識別化摘要，不將原始個資送進公開輸出"
DRIVE-A6-TRAINING,google_sheet,A6 回覆訓練,1NxBso2ried_4uxFzQPDtDuUTZlx7BN5qrC9xO2oZhm4,working_training_data,"業務快反應部隊;客服與對話轉單部;Investment OS Reviewer;影子系統總管","A6;A7;B2;B5","LINE examples;Owner corrections","prompt updates;quality rubric;skills",,"MAPLAB Cashflow Loop",customer_data,2026-06-26,"內容需資料最小化"
DRIVE-CASE-ASSETS,google_folder,2026 MAPLAB Catering Records,1pKfGSOZXBpG7qXcJrW5T7aoHX4nqB1Tt,operational_asset_source,"搜尋流量作戰部;社群與廣告成長部;影像資產整理部;影音內容產線;報價與提案引擎部","A2;A3;A4;A5;A6;A7;A8;B5","completed events;photos;videos","SEO;ads;ALT;video;case proof",,"Content Repurposing Loop",customer_data,2026-07-10,"一般索引只讀 metadata；公開前確認授權"
DRIVE-ITEM-PHOTOS,google_folder,MAPLAB Items Photos,1Z62HUIiVutGNqLJMGyTfBCZ-D5g2vnOT,operational_asset_source,"影像資產整理部;報價與提案引擎部;業務快反應部隊;影音內容產線","A4;A5;A6;A8","photo assets;Items mapping","Slide generation;proposals;content","T-A4-003;T-A5-002","MAPLAB Cashflow Loop",internal,2026-06-22,"與 Items K 欄關聯為高風險"
DRIVE-A2-PATROL,google_sheet,A2 Ads SEO Patrol Matrix,1mUig-TrkbAMNSHngV-sJ3cPqs-5gGLkTH1cjpkyK0Vs,operational_working_data,"搜尋流量作戰部;社群與廣告成長部;系統總管中心","A2;A3;A1","GSC;Ads;WordPress","SEO actions;ad alignment;review",,"Marketing Loop",internal,2026-06-02,"需與 live GSC/Ads 驗證"
DRIVE-INVESTMENT-OS,google_folder,Investment OS Drive,1SBmtBHYhAnbLhfyvvQLsz0Xv3oe9qfv5,operational_evidence_domain,"Investment OS 全部部門;Windows Evidence Collector","B1;B2;B3;B4;B5;WIN;ALL-IOS","FB Radar;Windows bridge;research evidence","research packets;validation;Dashboard",,"Investment Decision Loop",financial,2026-06-22,"治理文件複本預設為 GitHub mirror"
DRIVE-WIN-BRIDGE,google_folder,Windows Agent Bridge,1vD6h0G9pvPWQlX_xlBx353-nDzsCP8jy,operational_evidence_inbox,"Windows Evidence Collector;Investment OS Reviewer;研究證據經理","WIN;B2;IOS-EVIDENCE;B1","Windows UI captures;market evidence","Mac validation;research packets",,"Investment Decision Loop",financial,2026-05-29,"Windows 證據不能自行關閉 B2 review"
DRIVE-FB-RADAR,google_folder,FB Radar,1pTQj8wgEl8QJoJ3wdrsj_x4gdug-MCCu,operational_research_source,"FB 社群情報;阿爾法共振;研究證據;Investment OS Reviewer","IOS-FB;IOS-ALPHA;IOS-EVIDENCE;B2","FB sources;login route","candidate evidence;source health",,"Investment Decision Loop",internal,2026-05-26,"沒有 live login/freshness 不得假裝今日報告"
CRED-GOOGLE,credential_route,Google Drive Sheets credential route,skills/credentials/google-drive-api.md;skills/credentials/google-sheets-api.md,credential_reference,"總調度秘書;系統總管中心;影像;報價;業務;客服;Investment OS","A0;A1;A4;A5;A6;A7;B1;B2;ALL-IOS","OAuth scopes;approved runtime","Drive/Sheets access;auth_missing",,"System Knowledge Loop",credential_reference,2026-07-18,"不存 token value"
CRED-WORDPRESS,credential_route,WordPress credential route,skills/wp-credential-chrome-login/SKILL.md,credential_reference,"搜尋流量作戰部;系統總管中心","A2;A1","Owner Chrome;Application Password","WordPress draft/publish",,"Marketing Loop",credential_reference,2026-07-18,"發布與已發布頁修改需批准"
CRED-SOCIAL,credential_route,Social account credential route,skills/credentials/social-accounts.md,credential_reference,"搜尋流量作戰部;社群廣告;FB 社群情報","A2;A3;IOS-FB;A0;A1","controlled login reference","live collection;ads;social review",,"Marketing Loop",credential_reference,2026-07-18,"缺登入時輸出 auth_missing"
CRED-BROKER,credential_route,Broker credential route,page1010/investment-os/docs/SECURITY_BOUNDARIES.md;local env,credential_reference,"Investment OS Builder;Reviewer;庫存;模擬倉","B1;B2;IOS-INVENTORY;IOS-SIM","local env;human approval","broker read/simulation",,"Investment Decision Loop",financial,2026-07-18,"禁止在索引保存 secret；真實資金動作需明確批准"
